FIPS,MSAID,MSANAME,ST,ALLCOMPLEV,EDCOMPLEV,HECOMPLEV,NBCOMPLEV,ALLCOMP,EDCOMP,HECOMP,NBCOMP,ED1Z,ED2Z,ED3Z,ED4Z,ED5Z,ED6Z,ED7Z,ED8Z,HE3Z,HE4Z,HE5Z,HE6Z,HE7Z,HE8Z,NB1Z,NB2Z,NB3Z,NB4Z,NB5Z,OL1,OL2,OL3,OL4,OL5,OL6,OL7
26087330500,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Low,Low,Very Low,Low,-0.383844,-0.320421,-0.597707,-0.233404,-0.98377,0.16351,0.8918,-0.40996,-1.39405,1.05404,-0.27576,-1.60918,-0.9874,3.51138,0.18471,-5.08959,0.05845,-1.26379,0.1187,0.16609,0.12427,-0.0474,-1.52868,850,29,790,10,0,1,20
26147620000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Low,Low,High,Very Low,-0.241611,-0.512814,0.279707,-0.491726,-0.75977,-0.38201,-0.68779,-0.97206,0.01894,-0.56641,-0.27576,-0.47765,2.66355,-0.89073,0.1753,0.58856,-0.40125,-0.45719,0.55986,-1.11582,-0.01657,-0.89593,-0.99017,1352,145,689,350,7,0,161
26147621000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very Low,Low,Low,Very Low,-0.468496,-0.596804,-0.120785,-0.687898,-1.15413,-0.48954,-0.68779,-0.97206,-0.90545,-0.56641,-0.27576,0.27671,-0.25721,-0.94535,0.12899,0.41439,-0.14608,0.08055,-0.41856,-0.65592,-0.20905,-1.20537,-0.95059,1020,102,700,103,7,6,102
26147622000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Low,Low,Moderate,Low,-0.29583,-0.547321,-0.006495,-0.333674,-0.62594,-0.48954,-0.68779,-0.97206,-1.03778,-0.56641,-0.27576,0.27671,0.22958,-0.94447,0.12658,0.13521,0.1596,0.25453,-0.31202,-0.62035,0.05783,0.10867,-0.9025,1173,115,880,88,6,2,82
26147623000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very Low,Low,Moderate,Very Low,-0.459671,-0.591039,0.07146,-0.859434,-0.88418,-0.13762,-0.6534,-0.75392,-0.6022,-0.56641,-0.27576,-0.85482,0.83807,-0.98449,0.12607,0.10873,0.08585,0.25453,-0.16823,-0.5501,-1.37646,-1.29992,-0.90246,896,71,667,73,10,3,72
26147624000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very Low,Low,Low,Very Low,-0.467349,-0.413409,-0.223343,-0.765296,-0.23613,-0.70753,-0.6534,-0.75392,-0.39083,-0.56641,-0.27576,0.27671,-0.9874,-0.53202,0.1504,0.53958,-0.7177,0.20708,0.80868,-1.10847,-0.77781,-1.75778,-0.9911,375,23,266,42,2,1,41
26147625000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very Low,Very Low,Low,Very Low,-0.644658,-0.791449,-0.240315,-0.90221,-1.20951,-0.70753,-0.36886,-0.73844,-1.61026,-0.56641,-0.27576,-0.85482,-0.9874,-0.86202,0.13835,0.61083,-0.58036,0.23871,0.85849,-2.76643,-0.3837,-1.23012,-0.98929,392,23,291,32,2,4,40
26147626000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Low,Very Low,Low,Low,-0.387528,-0.714858,-0.152588,-0.295138,-1.52887,-0.25088,-0.6148,-0.60266,-0.64748,-0.56641,-0.27576,-1.232,-0.9874,-1.03796,0.12667,0.83217,0.02299,0.128,0.16408,-0.68135,-0.07318,0.09372,-0.97896,502,35,378,18,3,5,63
26147627000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Moderate,Moderate,Low,Low,0.009769,0.147201,-0.100923,-0.01697,0.21645,-0.75711,-0.53769,-0.35177,1.28729,-0.56641,-0.27576,2.16261,-0.9874,-0.56988,0.11972,0.17188,0.37398,0.28616,-0.08299,0.23615,0.03787,0.69796,-0.97384,568,45,467,21,2,5,28
26147628000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Low,Low,Moderate,Low,-0.154358,-0.390799,-0.057135,-0.01514,0.00999,-0.76568,-0.6148,-0.60266,-1.71932,-0.56641,-0.27576,1.40825,-0.9874,-0.50865,0.11639,0.64882,0.19677,0.19126,0.4399,0.27215,0.10581,0.17184,-1.0654,945,103,680,68,4,5,85
26147629000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Moderate,Low,High,High,0.112463,-0.251034,0.294888,0.293534,0.14091,-0.02212,-0.22803,-0.28974,-1.04383,-0.56641,-0.27576,0.27671,0.83807,-0.0271,0.15467,0.81606,0.46063,-0.473,1.22163,0.22175,0.64274,0.49261,-1.11106,493,30,400,14,0,2,47
26147630100,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,Moderate,High,Moderate,0.20861,0.095162,0.342383,0.188284,-0.62936,0.81775,0.22452,0.38092,1.28729,-0.56641,-0.27576,-0.47765,0.83807,1.30997,0.18481,0.31766,0.00332,-0.59953,0.9902,-0.00153,0.41114,0.79287,-1.25126,192,8,174,4,0,2,4
